brand,color,type,cost,marked_price
Under Armour,Pink,T-Shirt,101.19578898423697,181.39629879835354
Tommy Hilfiger,Yellow,Dress,244.22334567438492,275.54631628603966
Under Armour,Blue,Shorts,141.3196387119004,181.93322130030137
Calvin Klein,White,Bra,148.247532814157,199.94839986967148
Lacoste,Yellow,Sweater,233.1182544305762,201.46625734418694
Armani,Green,Jewelry,220.11677997949323,221.59856426551104
Chanel,White,Socks,184.266713725415,202.76300798114661
Ralph Lauren,Pink,T-Shirt,280.7546429334277,327.34647022369705
Calvin Klein,Green,Jeans,327.50730164284573,363.67738031554785
Dior,Pink,Gloves,365.76102442493243,389.0917546142568
Ralph Lauren,Purple,Shoes,231.71659646936487,212.83387827294567
Adidas,Green,Scarf,44.04486929447893,103.21963618228581
Levis,Purple,T-Shirt,197.7953519959263,229.78617165799
Gucci,Red,Jeans,389.1648602562417,255.56944458939557
Zara,Purple,Bra,25.003046268447505,117.45290449396154
Reebok,Red,Hoodie,194.62510763314287,209.0940112293624
Levis,Yellow,Polo Shirt,181.58909873248336,204.37644315627585
Tommy Hilfiger,Pink,Sweater,154.13571667237198,197.63838814150722
Tommy Hilfiger,Orange,Sweater,138.53040313907093,191.9826835575118
Nike,Blue,Slippers,179.15614454431787,205.7743402513702
Levis,Yellow,Underwear,107.36047962409836,196.6736578081439
H&M,Brown,T-Shirt,29.864435860236593,152.51225706167187
Burberry,Brown,Polo Shirt,428.12193402172477,492.3116390296608
Chanel,Black,Sandals,193.0260640439972,230.96942889121473
Chanel,Blue,Jewelry,174.81368691795308,209.0722613719779
Reebok,Orange,Socks,129.0822568697679,160.16905371940462
Zara,Blue,Bra,18.183439319709187,55.194104506797125
Ralph Lauren,Purple,Hoodie,190.0001568840895,221.34147861843675
Dior,White,Jeans,504.5438205170194,501.61091609342054
H&M,Green,Dress,24.08780857056688,73.2862787874847
Reebok,Pink,Slippers,130.6935323938705,189.25262188670533
H&M,Brown,T-Shirt,25.626756573388203,114.47354029159331
Nike,Pink,Dress,119.85811250058107,171.5708659191299
Versace,Black,Hat,267.1211175662702,203.55242466839536
Nike,Brown,Boots,77.50666415685419,94.45959432519582
Under Armour,Red,T-Shirt,97.00054569549293,180.68124685062327
Zara,Green,Jewelry,29.186616037104393,172.92838407544428
Chanel,Red,Polo Shirt,282.4308796727848,322.96136656817504
Versace,Blue,Bra,225.19922847469172,214.5707824148092
Dior,Black,Slippers,345.287156367496,404.61885346494574
Prada,Red,Jeans,179.8340527309628,214.26342097956731
Reebok,Blue,Jeans,237.38590304463966,269.90723406395426
Ralph Lauren,Purple,Socks,184.57805319188952,201.17242684950074
Under Armour,Green,Sandals,136.71857252072977,179.24288596320838
Calvin Klein,Pink,Skirt,373.2664630187363,213.18333389466173
Versace,Orange,Jacket,374.02703937122453,314.37233704055495
Dior,Purple,Jewelry,259.81661801065013,249.72078950608224
Zara,Black,Shoes,44.469255455011904,139.0409761454485
Under Armour,Green,Shoes,190.8853424287816,201.5914010285234
Prada,Yellow,Shoes,376.9475628130699,289.2004076081965
Under Armour,Black,Bra,45.12682813120675,96.41968652499365
H&M,Black,Underwear,7.935806062167553,157.95414198782723
