brand,color,type,cost,marked_price
Adidas,Orange,Slippers,167.02632475431113,200.38076650563
Prada,Yellow,T-Shirt,229.5721738493504,234.35826331773086
Prada,Red,Jacket,403.0474950153558,260.2895357079436
Nike,Brown,Polo Shirt,84.71749805269553,148.02699998514908
Versace,Black,Dress,305.54759561037986,263.2166287106334
Dior,White,Dress,616.2857825437909,503.9010441919901
Burberry,Green,Jacket,368.9949719659252,361.93321145521475
Versace,Yellow,Gloves,200.01577471379272,206.32320502276252
H&M,Green,Dress,41.25932574045084,164.39438242935094
Prada,Purple,Socks,239.90525794930733,253.72237184318823
Nike,Purple,T-Shirt,49.543959357256966,135.84077234260087
Levis,Blue,Shorts,290.1407300846722,227.3934634498901
Puma,Purple,T-Shirt,91.06453314971209,190.12318840525302
Puma,Yellow,T-Shirt,148.95986027695778,182.78396219544462
Lacoste,Yellow,Scarf,136.25052125187239,188.97189626214356
Armani,Orange,Boots,267.98742676125687,307.1202752317087
Nike,Pink,Skirt,73.07673516719139,177.18089448108583
Adidas,Brown,Sweater,87.4239997039204,114.1714879124369
Calvin Klein,Blue,Hoodie,183.2684016890765,219.5462228533048
Gucci,Green,Socks,210.62611795700306,250.88550361486236
H&M,Purple,T-Shirt,49.40016003336393,192.87794588632437
Nike,Green,Jewelry,22.38724610215274,171.6973083122557
Gucci,Blue,Shorts,176.25840815094497,205.079602053436
Burberry,Black,Hoodie,269.6738018462614,280.7963261365012
Puma,Red,Sweater,75.72699639079059,96.21625552243859
Armani,Orange,Socks,276.94298455647345,288.3571766153203
Nike,Blue,Socks,43.17823680315297,136.87283566578648
Burberry,Red,Bra,334.62041417999427,355.12743163553364
Versace,Red,Slippers,246.14201239615772,292.9751353550612
Reebok,Blue,Jeans,183.47450600600482,215.77338487061579
H&M,Green,Underwear,8.500687153510118,128.1493500161274
Burberry,Blue,Dress,280.8211020127873,293.0045914301421
Armani,Blue,Shoes,693.5694875879287,593.973983191247
Dior,Black,Underwear,219.63609673352025,244.31791179479185
Prada,Brown,Bra,265.7970915482374,307.3076266704535
Under Armour,Orange,Sandals,64.05546741218856,127.03414546636131
Levis,Red,Jeans,293.5542484595985,279.7805696243477
Versace,Yellow,Skirt,431.80982787332005,476.29527894655877
Tommy Hilfiger,Purple,Skirt,247.2794955863513,201.49455583322816
Prada,Orange,Polo Shirt,266.9814909075661,224.23684422353045
Reebok,Green,Jewelry,156.87911146371232,191.05399314057277
Levis,Black,Gloves,85.31902269444925,122.59134456393716
Armani,Yellow,Jeans,201.86690790214786,200.96088668555632
Nike,Purple,Shorts,84.31381304857214,139.9272036387171
Dior,Brown,Jeans,305.6777747917625,284.3140364473147
Versace,Red,Skirt,188.16772523706786,216.91721969649387
Armani,White,Skirt,270.6353600863886,212.36998917050056
Tommy Hilfiger,Green,Gloves,118.43018675374363,169.3476933458029
Prada,Purple,Shoes,247.60057083715782,277.4582820660302
Zara,Yellow,Scarf,17.51393672306002,148.88609498623188
Nike,White,Sweater,63.64897079972073,157.09510954295632
Nike,Black,Boots,130.5778170362553,186.69344424958533
H&M,Red,Underwear,18.883042707089405,163.73240801734795
Under Armour,Yellow,Scarf,71.83745236078295,93.28993211401648
Burberry,Green,Boots,601.9886293933537,347.6537956953417
Calvin Klein,Green,Sandals,181.87186861250723,210.83877889968898
