brand,color,type,cost,marked_price
Burberry,Green,T-Shirt,400.5549081363957,247.26791020379707
Gucci,Black,Jacket,304.02347490859427,225.4066586278607
Prada,Purple,Polo Shirt,297.5274174355404,218.99830401970945
Lacoste,Red,Jeans,157.07103126067898,198.46125998591472
Ralph Lauren,Pink,Gloves,106.68971691257546,169.50207218385293
Levis,Black,Jeans,104.43552763622736,131.3346756485363
Gucci,Black,Hoodie,361.80649188334627,392.30656492385316
Armani,White,Shoes,359.49662361907906,274.5522191171114
Puma,Green,T-Shirt,159.37234830152346,196.60119091839718
Burberry,Blue,Underwear,238.70835033536332,205.07112229509823
Ralph Lauren,Pink,Underwear,194.77499261628594,205.61878226893924
Calvin Klein,Purple,T-Shirt,160.26107361570845,198.11893052382536
H&M,Black,Hat,26.006838730229443,172.98199230552999
Chanel,White,Socks,251.5287359523591,273.65696830346843
Zara,Red,Shorts,88.82041135613977,158.02045824050475
Ralph Lauren,White,Shoes,160.5644626675163,194.27372056511402
Puma,Orange,Shoes,80.39578547476646,126.02133530172668
Prada,Red,Shorts,222.34331955323614,200.76342398544713
Reebok,Blue,Jacket,124.88137047096873,149.91213467276296
Ralph Lauren,Pink,Slippers,424.17435255919503,222.92252188613855
Versace,Brown,Polo Shirt,410.71308605367494,306.1115483571279
Burberry,Orange,Gloves,172.55538105330587,205.42876710623594
Nike,Red,Shorts,127.0683729516019,194.54122529561127
Adidas,Red,Hat,114.08801165246096,161.21897251426213
Tommy Hilfiger,Green,Jewelry,122.32347059811939,147.75831841329853
Nike,Red,Scarf,22.037456012396817,132.94391329209682
Levis,White,T-Shirt,169.3169535891796,200.85534795077606
Ralph Lauren,Brown,T-Shirt,207.49310916895172,218.1689141337728
Nike,Brown,Sandals,102.3643433879135,155.0233237595238
Lacoste,Black,Underwear,170.48884134894456,203.8472667579652
H&M,Green,Dress,38.21916317934114,198.01975951909918
Reebok,White,Skirt,232.94248495789378,250.25831421674735
H&M,Pink,Dress,69.59102704999071,151.73798823664495
Adidas,White,Scarf,126.58783595289079,174.69386992761923
Dior,Orange,Boots,229.8906954393254,214.2915895830247
Versace,White,Gloves,192.30928852273271,221.57326477293378
Nike,Yellow,Sandals,99.62564442822514,159.07299270694267
Prada,Yellow,Jewelry,210.92532909134235,252.7869167417895
Gucci,Brown,Shorts,204.2211189463581,227.6861267870326
Chanel,Green,Socks,216.87690628890815,257.97121995122984
Dior,Blue,Hat,281.4540133422538,308.3727464343392
Nike,Red,Sandals,70.80255399283647,154.5153866151175
Tommy Hilfiger,Red,Dress,262.55139268287303,294.4276361821216
H&M,Blue,Gloves,23.792017442912616,115.13910386334246
Burberry,Blue,Jewelry,384.37760775751883,355.9473903669425
Ralph Lauren,Green,Underwear,183.28151732070503,206.9285635421872
Levis,Yellow,Sweater,171.40240218919607,203.9354833458071
Prada,Pink,Skirt,221.17258819588648,245.00151024754877
Levis,Blue,Gloves,131.13913223041732,174.72016963512232
Adidas,Red,Skirt,99.3127126749734,170.4824399088679
Calvin Klein,Purple,Hat,210.20586904298335,225.05611706573882
H&M,Blue,Bra,11.060749915224505,19.10989313331784
Reebok,Black,Bra,65.26230649211867,96.72406672314308
Nike,Orange,Socks,33.24996946982667,107.08480025542433
Nike,Blue,Shirt,60.52883131933504,95.8673623194378
Zara,Pink,Dress,63.99004092605176,162.8836273143558
Zara,Orange,Boots,73.94382447034579,88.7601838435624
Adidas,Orange,Bra,60.79959405817955,195.1114429236315
Versace,Brown,Hat,190.25884335810696,202.8569659491121
Burberry,Blue,Gloves,393.3468522241275,427.71749180894903
