brand,color,type,cost,marked_price
Tommy Hilfiger,Blue,Socks,46.135237133769,63.49971288742546
Prada,Red,Boots,148.12338957796106,191.69062962355588
Under Armour,Brown,Boots,135.41133245696534,192.79822914449844
Under Armour,Red,Shoes,145.28605214581393,187.21872109209312
Puma,Brown,Sweater,72.5103183470271,196.7537117736376
Lacoste,Yellow,Jewelry,121.90731786822529,151.29346001509927
Versace,Orange,Jewelry,102.70018093004113,129.41908939935652
Nike,Orange,Hoodie,52.258549690548655,108.62438622427541
Gucci,Black,Jewelry,107.99975460852035,138.89934787680707
Tommy Hilfiger,Yellow,Sweater,44.43079448590595,147.90583920290953
Louis Vuitton,Brown,Jeans,64.68109059502257,197.4811800662021
Calvin Klein,Brown,Socks,13.33534502510119,54.35972302373067
Nike,Black,Bra,39.42799731183529,101.20692406130216
Zara,Blue,Slippers,148.23135038814235,193.34247945026735
Chanel,Green,Gloves,21.19896441047416,126.71209167417757
Adidas,Blue,Polo Shirt,49.31477979572255,87.80064681181902
Prada,Red,Bra,10.94792357496489,193.9063886466365
Prada,Black,Bra,15.08684016828704,164.68792553228212
Calvin Klein,White,Hoodie,46.28195838122458,174.3550938522395
Tommy Hilfiger,Yellow,Sweater,36.870731742404374,82.03759833695102
Calvin Klein,Black,Polo Shirt,57.18311289671045,84.54119704307162
Chanel,Green,Hoodie,54.54652756208394,76.38195155638383
Armani,Blue,Gloves,11.840922035461162,77.87309672767265
H&M,Black,Hat,36.03854253479638,78.77775122019868
Tommy Hilfiger,White,Dress,145.79085225701976,181.24280993064949
Calvin Klein,Pink,Jewelry,135.622604114916,175.17636381725646
Tommy Hilfiger,Pink,Gloves,21.610322287319534,104.7796779703715
H&M,Blue,Sweater,34.92737973572904,128.9530302845738
H&M,Green,Socks,34.31600475313557,108.43492415994413
Ralph Lauren,Orange,Jeans,59.46808254496118,83.86614575841767
Armani,Blue,Slippers,121.48296526360835,165.38264601775904
Louis Vuitton,Brown,Socks,21.8944108212808,86.37202971395648
Reebok,White,Dress,106.96800908929751,196.1781764196528
Zara,Green,Hoodie,55.5638804066583,86.34984769489353
Calvin Klein,White,Bra,27.292134981295604,134.12494115762132
H&M,Blue,Skirt,35.12082711732119,70.21956704825172
Nike,Purple,Boots,109.30397260119437,161.12347408270247
Ralph Lauren,Pink,Dress,143.69063199395674,189.9144666146151
Levis,Purple,Hat,20.21346696208228,191.91887811591158
Tommy Hilfiger,Red,Hoodie,57.40109404140563,175.70544042752277
Puma,Red,Polo Shirt,26.756192801568616,113.05986041396062
