brand,color,type,cost,marked_price
Dior,Orange,Skirt,582.0047590988236,480.16084944076624
Adidas,Black,Shoes,256.8340393382458,247.0874675097279
Adidas,Purple,Dress,108.49666813941366,151.55783397098986
Puma,Blue,Underwear,91.82146077138339,167.8754164166686
Under Armour,Green,Dress,135.79685090946242,167.2342514109863
H&M,Pink,Jacket,15.685900842592453,32.920401244481205
Prada,Black,Scarf,225.02558491769946,266.2309118753518
Dior,Green,T-Shirt,376.3331458319264,401.89875047406355
Under Armour,Blue,Shorts,122.68593792818328,168.40268373925153
Prada,Red,Jeans,422.09878345831095,376.11896337211465
Prada,Black,Dress,266.8551578188266,252.97485062950363
Reebok,Brown,Hat,112.29899040624903,174.16743842458794
Armani,Brown,Gloves,176.2049758544342,204.76481347161786
Dior,Green,Hat,224.45920673711285,223.79900890053216
Gucci,White,Shorts,348.95093898990626,278.0585368661913
Under Armour,Pink,Socks,48.2805604747207,123.5964235103014
Reebok,Pink,Shorts,140.55588679329793,189.54673518899713
Nike,Brown,Gloves,24.915160910180504,97.00876823717589
Zara,Black,Bra,27.42752238866273,69.30334839457421
Levis,Green,Hat,112.17517437597476,187.39387842575096
Ralph Lauren,Yellow,Slippers,272.3628282982892,298.73084251413235
Calvin Klein,Orange,Gloves,153.9305053077591,197.41043937935316
Gucci,Red,Sweater,254.28481057303475,275.9200536017946
Levis,Yellow,Sandals,208.66818968451423,235.86893550250903
Nike,Orange,Scarf,59.834064941809736,113.54107463481654
Nike,Red,Socks,41.9533572424464,148.1647346275588
Ralph Lauren,Blue,Hat,166.3985994205977,199.87398522587327
Versace,Red,Underwear,204.34498548528956,212.53161996320298
Burberry,Pink,T-Shirt,300.9163784067036,335.46758601359807
Ralph Lauren,Yellow,Shorts,246.3796741908813,254.1996176901781
Lacoste,Purple,Polo Shirt,121.39467466578277,157.52872230309788
Nike,Black,Slippers,103.73643641261023,167.33691182586205
Burberry,White,Socks,272.59476004569103,222.24388812469667
Levis,Purple,Gloves,141.307098859541,190.59704432225675
